x,y
0,0
0,0
0,0
0,0
0.5543422,0.555555556
1.120213845,1.111111111
2.601223678,2.622222222
3.074652116,3.055555556
3.79475046,3.888888889
4.128941054,4.166666667
5.109811733,5
5.718064625,5.833333333
6.775116062,6.944444444
8.03762352,8.055555556
8.68373846,8.611111111
8.735732252,8.888888889
8.78107049,8.888888889
8.819753174,8.888888889
8.888494031,8.888888889
8.960117202,8.888888889
9.008038832,8.888888889
9.024557325,8.888888889
8.998768234,8.888888889
9.055678005,8.888888889
9.125145373,8.888888889
9.181577535,8.888888889
9.221019521,8.888888889
9.263692929,8.888888889
9.301388274,8.888888889
9.309132685,8.888888889
8.697755498,8.888888889
8.823456375,8.888888889
8.867069611,8.888888889
9.165360525,8.888888889
9.318329117,8.888888889
9.276078142,8.888888889
9.239782227,8.888888889
8.897615041,8.888888889
8.306734515,8.333333333
7.738160961,7.777777778
7.193368632,7.222222222
6.633839111,6.666666667
6.057270181,6.111111111
5.45121888,5.555555556
4.845367067,5
4.236920082,4.444444444
3.830986137,3.888888889
3.032886123,3.055555556
2.459519963,2.5
1.891425934,1.944444444
1.679696502,1.666666667
1.157768805,1.111111111
0.810383225,0.833333333
0.569307361,0.555555556
0.272497262,0.277777778
0.26586855,0.277777778
